,Gold,Silver,Bronze
剧情,"('英国', 85)","('日本', 81)","('美国', 39)"
爱情,"('美国', 45)","('英国', 27)","('日本', 20)"
喜剧,"('美国', 161)","('英国', 79)","('日本', 24)"
科幻,"('英国', 38)","('日本', 28)","('美国', 19)"
动作,"('美国', 25)","('日本', 19)","('英国', 7)"
悬疑,"('英国', 36)","('美国', 17)","('日本', 7)"
犯罪,"('英国', 40)","('美国', 21)","('日本', 5)"
恐怖,"('美国', 10)","('日本', 3)","('英国', 3)"
青春,"('美国', 23)","('日本', 15)","('英国', 13)"
励志,"('美国', 49)","('日本', 19)","('英国', 11)"
战争,"('美国', 19)","('日本', 13)","('英国', 13)"
文艺,"('美国', 22)","('法国', 17)","('英国', 12)"
黑色,"('美国', 9)","('英国', 6)","('日本', 1)"
幽默,"('美国', 2)","('英国', 1)","('法国', 1)"
传记,"('美国', 67)","('英国', 59)","('日本', 11)"
情色,"('美国', 2)","('日本', 1)",
暴力,"('美国', 15)","('英国', 3)","('俄罗斯', 1)"
音乐,"('美国', 306)","('英国', 197)","('德国', 48)"
家庭,"('美国', 66)","('日本', 17)","('英国', 10)"
